label,volume_um3,centroid_z,centroid_y,centroid_x,bbox_min_z,bbox_min_y,bbox_min_x,bbox_max_z,bbox_max_y,bbox_max_x,solidity,extent,major_axis,intermediate_axis,minor_axis,elongation_ratio1,elongation_ratio2,sphericity,timepoint
25,563.889119135,11.289973443360841,122.1187344336084,195.90715858964742,4.39,117.213,190.526,17.999,126.871,202.818,0.8490445859872612,0.349025974025974,13.447009234755699,11.143969638836316,5.456093084867637,0.8287322068637499,0.4057477011888705,0.8448896653977103,0
26,81.051129202,12.05004592901879,102.89371816283925,194.30607411273488,8.341,100.092,191.404,16.243,105.799,196.672,0.7963424771404821,0.34116809116809116,7.444402648222798,4.890797718920589,3.467419977683976,0.6569765164553759,0.46577544788120145,0.8901188453265202,0
27,1003.494199859,24.952269960374334,113.68105050164405,205.32997125031616,9.219,109.311,194.916,34.242,118.53,212.915,0.5696378830083565,0.24168143937078468,23.690047642573298,15.657177620373789,6.865597933578207,0.6609179456539519,0.28980937637457793,0.5916756679739834,0
28,893.762138716,26.757556985990153,163.91201978417266,202.3620035024612,19.755,157.162,194.916,33.364,170.332,208.964,0.7932717579034317,0.3549731182795699,13.909682873342376,12.271242710717537,7.975799705735824,0.882208661581719,0.5733991046640813,0.8427354735956256,0
29,97.633614926,11.851858752166379,111.99711698440208,198.00155372616985,7.463,109.75,195.794,16.243,114.14,201.062,0.8842911877394636,0.48083333333333333,8.092153743029852,4.718381749894644,3.6558872900329793,0.5830810807269703,0.4517817389693028,0.9612661975235915,0
30,415.74660636600004,31.646593406593407,131.29512657712658,203.19750183150182,26.779,125.115,196.233,36.437,137.407,209.403,0.8333050703747669,0.26590909090909093,14.683267761211054,8.826952695015672,4.641877349448357,0.601157238195569,0.31613380787830175,0.8045957295822318,0
31,626.9194857900001,7.597306747638326,125.10990499325236,212.4233910931174,0.0,119.408,208.525,14.487,130.383,217.744,0.83795092163293,0.4277056277056277,14.656961389207854,9.774446426778002,6.82359215192937,0.6668808197840432,0.4655529867844017,0.8524438804281611,0
32,156.09533755500001,21.46959837398374,158.08639837398374,212.8971544715447,15.804,155.845,208.964,26.34,160.674,218.183,0.7824427480916031,0.3327922077922078,10.324136249372073,7.216510819930403,3.192613393776903,0.6989941478512859,0.3092378206429697,0.7864625383706668,0
33,4331.243745686,16.901397097316092,121.55951504082509,228.78226800015628,0.439,108.872,210.281,34.242,133.895,243.206,0.3743893520549949,0.15552213868003342,32.271350502570805,24.971223543459125,20.267263830004108,0.7737892326963467,0.6280265162249585,0.46733946809854304,0
34,1294.195327143,21.865999673138525,162.03333019546318,226.6119894096882,10.097,156.284,218.622,33.364,169.893,236.182,0.6977921722470577,0.23276019476567256,24.722584815749094,11.483649006599315,8.009740566740946,0.4645003381395563,0.3239847542817804,0.7017166405608731,0
35,827.009173225,19.977756010230177,99.7170872634271,229.85658260869565,9.219,93.068,225.646,28.535,107.994,234.865,0.7667268021021256,0.31114718614718617,18.25055210678118,10.363416798286321,7.1946356281558,0.5678412761242269,0.3942146838112673,0.763385046193585,0
36,174.454518178,23.083267216294857,204.67661784675073,234.8560581959263,18.438,201.062,231.792,27.657,207.647,238.377,0.8693086003372681,0.4364021164021164,8.038023740052767,6.744537288283287,4.574976220421416,0.8390790455962266,0.5691667962642,0.9623656269934783,0
37,6000.237091999,24.450772930443733,124.66455471581055,255.2118802752358,4.39,111.506,237.938,41.705,143.992,275.253,0.3512818734769084,0.13264939680164595,40.04798500559319,32.972592445966775,16.118298943846295,0.8233271272290416,0.4024746548820166,0.45236199756071266,0
38,67.34519712400001,29.25416582914573,113.45999120603017,256.7747399497487,25.901,111.506,254.62,32.925,116.774,259.888,0.8513368983957219,0.3454861111111111,6.573856532703924,4.9507820261917965,3.2301437463709686,0.753101623310825,0.49136206887106537,0.9194029620513461,0
39,631.234316259,8.38389384800965,136.55871384532904,268.45694343921724,1.756,132.139,262.961,14.926,140.919,274.814,0.8955707598127476,0.46055555555555555,12.424276661132561,11.886898084802175,6.230339509895095,0.9567476971909767,0.5014649689334232,0.8946227310597779,0
40,6264.626213874,23.519179253437052,125.16344972044404,294.4208999000621,8.78,113.262,272.619,41.705,135.651,308.178,0.5016496731140544,0.23899297990801258,40.0364188322453,22.830271688877186,14.933268072859889,0.5702376075277168,0.37299210340043315,0.5551876922729743,0
