label,volume_um3,centroid_z,centroid_y,centroid_x,bbox_min_z,bbox_min_y,bbox_min_x,bbox_max_z,bbox_max_y,bbox_max_x,solidity,extent,major_axis,intermediate_axis,minor_axis,elongation_ratio1,elongation_ratio2,sphericity
29,270.649856281,28.03740262582057,112.60096123788685,208.9376517661769,23.267,108.433,202.379,32.925,116.774,214.671,0.8125476250952501,0.27332535885167464,11.868108767890583,8.334493112495313,3.9555525815684773,0.7022595828447797,0.3332925792077595,0.810710677260895
30,203.727681752,6.944877906976744,124.71647259136212,211.51796636212626,0.439,121.603,208.964,12.731,128.188,214.232,0.8991784914115011,0.4777777777777778,11.165486212442051,5.616973825927954,4.651939766529409,0.50306576167447,0.4166356644053357,0.9311531335195938
31,463.63276412,25.976543248175183,126.13094854014598,223.31249069343065,19.316,123.359,216.427,32.486,129.944,230.036,0.8286707999395131,0.392831541218638,12.466899984806037,10.381855188035242,5.503226503297949,0.8327535474486896,0.4414270195481615,0.8305158502658785
32,310.752398287,21.507294854342497,95.6556259188674,222.88028804791725,15.365,92.629,219.061,27.218,100.531,226.963,0.8662735849056604,0.41986739826246,11.376550422282438,7.901455851279964,5.30356587259817,0.6945388151933952,0.4661840079581991,0.8888819639546708
33,297.131070728,18.89325,160.962875,222.8185,12.731,158.04,219.061,25.462,164.186,227.402,0.8828557063851181,0.4552761213378273,11.742597352858915,7.007678515294385,5.339299228150551,0.5967741467000278,0.4546949084352805,0.9118684771795544
34,826.247732554,12.424652979725579,121.80640722916242,230.91768605365556,3.073,114.14,223.012,21.511,132.139,237.06,0.5391707613316402,0.17722851335656215,21.46302995598036,10.387294662061196,8.04043159356277,0.4839621751153046,0.37461773151569505,0.6154051923967379
35,234.100704073,26.63922443079147,164.96833068305023,233.40981098662814,21.511,161.113,229.158,32.047,169.893,237.06,0.8529593094944513,0.32025462962962964,10.775575059496322,7.175699714353212,4.533074697372005,0.6659226699951754,0.4206805365229289,0.880585614591458
36,852.390528925,18.85089965260546,124.9475481885856,250.19583861042184,6.585,122.042,236.182,27.218,129.944,262.522,0.4946484681853888,0.1984830575256107,19.381737682388696,18.641651832791773,5.856789989846239,0.9618152994470973,0.30218085116114424,0.4848437281036573
37,429.621747482,33.896799724300905,126.7935395825128,244.09108901142181,28.096,122.042,239.694,39.949,131.261,248.913,0.8897844752058875,0.4264718232972201,10.915471833264556,8.713426017419136,6.507351097640802,0.7982637993591121,0.5961584800951851,0.9360473557795578
38,136.128671071,13.509413300186452,114.8646637663145,261.2522013673089,8.78,112.823,258.132,17.999,116.774,267.79,0.7167037861915367,0.38696488696488696,8.599164451437572,8.047846486883303,3.543016295017787,0.9358870309240217,0.4120186693749624,0.7535314098126812
39,203.389263676,35.4156493344426,133.11232362728785,262.4173631447587,31.608,127.31,259.888,39.51,140.041,266.034,0.7531328320802005,0.3289545703338807,11.556790868987175,6.786028893093735,4.087449620094811,0.587189728534774,0.3536837921904034,0.7964876570574694
40,303.64561869100004,19.32933268319866,119.89580495959879,267.63514516578437,10.975,117.652,261.205,27.657,122.92,273.936,0.5995656531907785,0.27140048396854205,19.863723164508063,7.618657879393477,3.8979170861290737,0.3835463178930262,0.19623295461012874,0.6195563886737389
41,222.42528045100002,8.017385697984025,136.1898562190947,267.2486390262457,3.951,133.456,262.961,12.731,139.602,272.619,0.8650871997367555,0.42678571428571427,9.289235636916011,8.113478819572753,4.221135170718335,0.8734280339847634,0.4544114645927676,0.8988896841787297
42,2725.9576021800003,22.930433333333333,125.50441834264433,293.9725077281192,10.975,117.652,274.375,38.193,134.334,308.178,0.43437815975733063,0.17760677353207063,40.70074615723532,17.094427788429194,11.33412993978106,0.42000281081801094,0.2784747457944627,0.49245304707022497
43,344.848019444,25.799112365063788,199.18569504416095,279.393558390579,20.633,193.599,274.375,30.291,205.013,283.155,0.782642089093702,0.35629370629370627,10.450291423688101,8.255812297517634,6.353877546396027,0.7900078536378276,0.6080096036358789,0.8419663918075199
44,287.486155562,9.705543260741612,164.9156856974691,277.8390691583284,4.39,158.479,274.814,15.804,169.454,282.277,0.7797154658100046,0.3075113122171946,12.602668714375667,7.548923810598736,4.948615490777483,0.5989940687711481,0.3926640938464624,0.7998187105042972
45,306.26835878,17.438850552486187,173.53827651933702,288.7863270718232,11.853,169.454,284.472,22.828,179.112,292.813,0.8221667045196457,0.3464114832535885,9.852517978223483,7.191072838088859,6.422989597640647,0.7298715773960442,0.6519135120420031,0.8907458196466389
